wei5,0.9379317415115612,0.507566601367702,0.5548321905123942,0.6918741278096766,0.9914778765668191,1.0624464050646696,1.1971614449054744,1.1810526546997175,1.4779233790259592,1.2852676327152996,,4,7,4,4,5,9,2,4,2,6
wei4,1.1414607239355796,0.7179544353777425,2.1475830453546183,3.7928547064295635,4.322629930837457,2.937271672846658,3.459864738459394,2.935411894733567,3.6503881405239436,2.4083373893975937,,3,32,18,15,7,13,6,13,9,4
wei3,1.1680033258176181,0.7880673289404792,1.0490470047159326,1.1913387421953325,1.207221884569366,1.733757019511226,0.8652152084545086,1.0903643243246604,1.8973494950482672,1.721495675548097,,8,6,9,11,17,10,4,11,19,9
wei2,1.0876311107918377,1.1705341032218843,1.3468262507571271,1.9391685146402753,1.9017483664835448,2.6707361409000505,2.381672220620082,2.448017127801807,2.206854304783283,1.793301997476893,,0,2,4,3,0,2,10,7,3,9
wei1,,2,23,42,58,68,72,84,93,107,121
ga,0.5977735122275915,nan,nan,nan,nan,nan,nan,nan,nan,4.350728572647856,,1,2,5,1,8,3,2,1,6,4
wei6,0.9544579622355149,1.0236637363197307,1.2820177420786307,1.304730891700037,1.2306839606607254,1.433149017779466,1.4499121695787829,1.2225450508502047,1.3953222988638423,1.572569682963073,,1,7,5,7,13,5,5,5,5,8
wei7,0.7234595487002047,0.7838166672612321,0.7028293655818134,0.7297304954939562,0.7932043830261988,1.419995984623282,1.7796913657945135,1.6403607519200372,1.467623352183431,1.6266859533013565,,3,6,10,5,8,4,7,6,6,6
wei8,1.7740766376742985,1.095632368758964,2.1873721603207708,2.2396339784589427,2.8381491075140834,2.537801202941659,2.8228429189005158,2.7248519053832054,2.6920685368576143,2.6639042374899797,,2,5,4,4,1,3,6,6,5,4
wei9,0.5543136321112672,0.5885903897197703,0.7811804082206891,1.0716831342594766,1.651822736897147,1.1015076423178662,1.4095024285893907,1.3835662146703083,1.2946474061954296,1.7859089059761932,,2,6,11,3,5,2,2,4,4,5
how,0.6351324483160062,0.8936023317831199,1.0548533298530995,1.0434605149255838,1.8801080811393216,2.209763441840271,1.9989923153526985,2.3032935586520686,2.0466368787789198,2.340757060747688,,2,2,5,2,2,3,2,2,3,1
